Brand,Affordability,Popularity,Sustainability,Ethics,Safety,Final Score
KVD Beauty,65.12,56.76,90.79,100.0,64.23,75.38
Anastasia Beverly Hills,71.17,60.12,83.51,100.0,47.02,72.36
ColourPop,52.74,75.24,100.0,0.0,95.51,64.7
Bite Beauty,14.63,78.26,87.06,100.0,42.2,64.43
Rare Beauty,1.44,47.53,72.65,100.0,100.0,64.32
Shiseido,98.69,56.98,96.29,0.0,65.18,63.43
Hourglass,65.02,78.59,38.39,0.0,84.13,53.22
Perricone MD,40.45,71.76,73.68,0.0,77.97,52.77
Drunk Elephant,8.6,39.04,55.95,100.0,56.54,52.03
Fenty Beauty,85.06,50.18,32.05,0.0,92.51,51.96
Juvia’s Place,91.38,36.38,91.65,0.0,34.32,50.75
Becca,83.15,78.15,44.3,0.0,46.66,50.45
Too Faced,45.17,44.22,79.85,0.0,80.49,49.94
Milk Makeup,35.54,64.15,72.53,0.0,62.84,47.01
Glossier,60.66,53.97,50.28,0.0,67.74,46.53
Ilia Beauty,70.12,59.33,37.05,0.0,59.75,45.25
Charlotte Tilbury,46.87,46.17,82.21,0.0,47.42,44.53
Tatcha,32.55,58.79,82.7,0.0,46.63,44.13
Danessa Myricks,67.24,51.35,74.13,0.0,23.34,43.21
Make Up For Ever,82.03,31.52,63.88,0.0,36.48,42.78
Yves Saint Laurent,62.13,45.93,77.72,0.0,27.02,42.56
Clinique,56.12,49.89,46.56,0.0,56.71,41.86
IT Cosmetics,82.22,47.28,70.54,0.0,2.24,40.46
Kylie Cosmetics,85.2,29.0,25.27,0.0,56.89,39.27
Huda Beauty,49.6,41.62,73.1,0.0,29.92,38.85
E.l.f.,43.64,56.04,42.17,0.0,49.98,38.36
Laura Mercier,32.02,48.89,58.02,0.0,52.76,38.34
Farsali,66.28,39.29,75.1,0.0,6.41,37.42
Tarte,100.0,30.05,38.6,0.0,2.91,34.31
Sisley,25.95,59.26,51.58,0.0,31.76,33.71
Bourjois,56.45,36.86,41.37,0.0,33.09,33.55
Bobby Brown,19.84,43.2,43.52,0.0,42.42,29.8
Urban Decay,61.75,44.63,27.96,0.0,14.18,29.7
Natasha Denona,70.09,19.89,8.83,0.0,42.23,28.21
Morphe,23.87,58.03,23.97,0.0,31.76,27.53
Kiehl’s,15.28,30.28,51.77,0.0,37.11,26.89
NARS,0.0,64.65,0.0,0.0,69.33,26.79
Patrick Ta,41.89,4.42,36.63,0.0,27.09,22.01
RMS Beauty,26.47,40.04,28.04,0.0,0.0,18.91
Pat McGrath Labs,5.62,26.18,34.9,0.0,8.91,15.12
